,Player,Team,Pitch,球種,投球数,投球%,xPV,xPV/100,Grade,球速(km/h),SwStr%,Whiff%,O-Swing%,wOBAcon,xwOBAcon,GB%,FL%,IFFB%
23,漆原 大晟,神,右投,カットボール,48,15,0.4,-,-,135,8.3,18.2,30.4,.482,.302,50,40,10
24,漆原 大晟,神,右投,ナックルカーブ,22,7,0.5,-,-,115,0.0,0.0,9.1,.218,.099,50,0,50
25,漆原 大晟,神,右投,フォーク,94,30,0.4,-,-,134,14.9,29.8,37.1,.154,.288,71,29,0
26,中川 皓太,巨,左投,ストレート,44,40,-0.5,-,-,145,4.5,7.7,33.3,.441,.363,33,60,7
27,中川 皓太,巨,左投,スライダー,32,29,0.3,-,-,128,15.6,31.3,35.3,.735,.349,50,50,0
28,中川 皓太,巨,左投,シュート,33,30,-0.1,-,-,145,9.1,20.0,29.4,.518,.285,75,25,0
29,加治屋 蓮,神,右投,ストレート,51,41,-0.8,-,-,146,5.9,18.8,12.5,.392,.313,78,22,0
30,加治屋 蓮,神,右投,スライダー,9,7,0.1,-,-,134,22.2,66.7,20.0,.000,.000,0,0,100
31,加治屋 蓮,神,右投,カットボール,26,21,0.3,-,-,138,19.2,35.7,25.0,.443,.347,50,50,0
32,加治屋 蓮,神,右投,カーブ,11,9,0.2,-,-,126,18.2,50.0,33.3,-,-,-,-,-
33,加治屋 蓮,神,右投,フォーク,28,22,0.8,-,-,141,25.0,43.8,50.0,.290,.264,50,33,17
34,大勢,巨,右投,ストレート,106,64,0.6,0.6,43,155,7.5,13.6,33.3,.356,.346,44,50,6
35,大勢,巨,右投,スライダー,25,15,0.3,-,-,130,12.0,75.0,17.6,-,-,-,-,-
36,大勢,巨,右投,フォーク,35,21,1.2,-,-,144,37.1,46.4,72.0,.237,.258,82,18,0
37,サイスニード,ヤ,右投,ストレート,457,47,0.3,0.1,54,146,7.7,15.0,39.8,.343,.347,28,60,12
38,サイスニード,ヤ,右投,スライダー,105,11,-2.3,-2.2,36,128,7.6,21.1,11.7,.468,.334,38,52,10
39,サイスニード,ヤ,右投,カットボール,120,12,-1.8,-1.5,46,139,2.5,6.1,24.5,.471,.364,35,62,4
40,サイスニード,ヤ,右投,ナックルカーブ,73,8,-0.4,-,-,119,5.5,25.0,20.6,.230,.406,22,78,0
41,サイスニード,ヤ,右投,チェンジアップ,113,12,-0.3,-0.3,50,124,14.2,25.0,35.2,.334,.301,48,41,10
42,サイスニード,ヤ,右投,スプリット,104,11,-1.6,-1.6,42,133,12.5,25.5,38.8,.305,.371,40,60,0
43,柳 裕也,中,右投,ストレート,334,40,-2.3,-0.7,45,142,1.8,4.4,17.3,.413,.352,37,56,8
44,柳 裕也,中,右投,カットボール,197,23,1.1,0.6,66,135,10.7,23.3,28.4,.306,.291,60,33,8
45,柳 裕也,中,右投,縦スライダー,103,12,0.7,0.7,57,124,14.6,37.5,32.1,.294,.279,40,40,20
46,柳 裕也,中,右投,カーブ,59,7,-1.1,-,-,105,3.4,9.5,10.3,.286,.375,21,71,7
47,柳 裕也,中,右投,フォーク,87,10,-0.2,-,-,134,13.8,28.6,36.5,.242,.284,72,28,0
48,柳 裕也,中,右投,チェンジアップ,63,7,-2.1,-,-,129,9.5,20.7,24.3,.285,.359,35,60,5
49,星 知弥,ヤ,右投,ストレート,242,58,-1.1,-0.4,33,150,5.4,12.4,18.0,.455,.343,24,61,15
50,星 知弥,ヤ,右投,スライダー,64,15,-0.9,-,-,130,7.8,22.7,12.5,.174,.400,30,70,0
51,星 知弥,ヤ,右投,カットボール,15,4,0.1,-,-,139,13.3,16.7,83.3,.442,.325,60,40,0
52,星 知弥,ヤ,右投,フォーク,97,23,0.4,-,-,138,11.3,23.9,36.5,.208,.258,63,26,11
53,勝野 昌慶,中,右投,ストレート,225,55,0.7,0.3,41,151,4.4,9.4,20.9,.336,.297,43,40,18
54,勝野 昌慶,中,右投,スライダー,31,8,0.3,-,-,132,12.9,33.3,25.0,.522,.227,60,20,20
55,勝野 昌慶,中,右投,フォーク,147,36,2.4,1.7,72,143,22.4,40.2,46.9,.407,.249,85,15,0
56,勝野 昌慶,中,右投,ツーシーム,7,2,0.0,-,-,148,0.0,0.0,0.0,.000,.250,0,50,50
57,嘉弥真 新也,ヤ,左投,ストレート,10,14,-0.1,-,-,138,0.0,0.0,0.0,.870,.363,50,50,0
58,嘉弥真 新也,ヤ,左投,スライダー,37,54,0.3,-,-,126,13.5,25.0,33.3,.790,.374,40,60,0
59,嘉弥真 新也,ヤ,左投,チェンジアップ,7,10,0.0,-,-,131,14.3,25.0,60.0,.870,.345,50,50,0
60,嘉弥真 新也,ヤ,左投,シュート,15,22,0.0,-,-,136,13.3,22.2,57.1,.290,.309,67,33,0
61,大西 広樹,ヤ,右投,ストレート,78,21,-1.0,-,-,148,5.1,9.8,21.2,.350,.350,57,43,0
62,大西 広樹,ヤ,右投,スライダー,90,24,0.3,-,-,133,14.4,39.4,26.8,.435,.294,25,50,25
63,大西 広樹,ヤ,右投,カットボール,42,11,0.7,-,-,141,4.8,10.0,28.6,.479,.277,82,18,0
64,大西 広樹,ヤ,右投,ナックルカーブ,2,1,-0.1,-,-,124,0.0,-,0.0,-,-,-,-,-
65,大西 広樹,ヤ,右投,フォーク,26,7,0.8,-,-,138,23.1,31.6,53.8,.124,.295,43,43,14
66,大西 広樹,ヤ,右投,チェンジアップ,21,6,1.0,-,-,134,33.3,50.0,56.3,.174,.134,60,0,40
67,大西 広樹,ヤ,右投,シンカー,3,1,-0.2,-,-,131,33.3,50.0,50.0,.870,.437,0,100,0
68,大西 広樹,ヤ,右投,シュート,118,31,0.2,0.1,39,148,2.5,4.7,29.5,.261,.299,53,38,10
69,清水 達也,中,右投,ストレート,213,55,1.7,0.8,46,151,10.8,24.5,18.3,.238,.285,59,27,14
70,清水 達也,中,右投,カーブ,34,9,-0.3,-,-,123,0.0,0.0,0.0,.435,.332,50,50,0
71,清水 達也,中,右投,フォーク,141,36,1.6,1.1,67,138,20.6,37.2,39.5,.218,.308,57,39,4
72,清水 達也,中,右投,ツーシーム,1,0,0.0,-,-,141,0.0,-,0.0,-,-,-,-,-
73,木澤 尚文,ヤ,右投,カットボール,118,30,0.1,0.1,46,139,28.8,55.7,43.1,.361,.301,40,45,15
74,木澤 尚文,ヤ,右投,カーブ,22,6,0.2,-,-,128,4.5,25.0,7.7,.000,.199,100,0,0
75,木澤 尚文,ヤ,右投,スプリット,37,9,0.4,-,-,140,13.5,29.4,33.3,.145,.219,67,17,17
76,木澤 尚文,ヤ,右投,シュート,220,55,0.8,0.4,42,150,6.4,12.6,31.4,.315,.319,48,43,9
77,松山 晋也,中,右投,ストレート,224,55,0.5,0.2,40,151,7.6,17.3,18.5,.365,.335,40,50,10
78,松山 晋也,中,右投,カットボール,6,1,0.1,-,-,144,16.7,25.0,50.0,.000,.237,100,0,0
79,松山 晋也,中,右投,フォーク,176,43,4.1,2.4,79,140,21.6,41.8,40.4,.170,.298,61,35,3
80,梅野 雄吾,中,右投,ストレート,172,54,-1.9,-1.1,27,149,4.7,9.8,19.0,.421,.333,46,46,8
81,梅野 雄吾,中,右投,スライダー,69,22,-0.2,-,-,135,18.8,37.1,40.0,.338,.398,31,69,0
82,梅野 雄吾,中,右投,カットボール,4,1,0.2,-,-,141,0.0,0.0,50.0,.000,.000,0,0,100
83,梅野 雄吾,中,右投,カーブ,43,13,0.0,-,-,131,11.6,27.8,20.0,.193,.347,44,56,0
84,梅野 雄吾,中,右投,フォーク,29,9,0.7,-,-,136,20.7,46.2,35.0,.218,.156,75,0,25
85,梅野 雄吾,中,右投,チェンジアップ,2,1,0.0,-,-,134,0.0,0.0,0.0,-,-,-,-,-
86,田口 麗斗,ヤ,左投,ストレート,62,39,-0.1,-,-,141,9.7,21.4,21.4,.134,.342,23,62,15
87,田口 麗斗,ヤ,左投,スライダー,68,43,0.1,-,-,131,13.2,33.3,25.7,.308,.349,50,50,0
88,田口 麗斗,ヤ,左投,カーブ,1,1,0.0,-,-,110,0.0,0.0,-,-,-,-,-,-
89,田口 麗斗,ヤ,左投,フォーク,2,1,0.0,-,-,130,50.0,100.0,50.0,-,-,-,-,-
90,田口 麗斗,ヤ,左投,チェンジアップ,11,7,0.4,-,-,127,27.3,42.9,50.0,.435,.111,50,0,50
91,田口 麗斗,ヤ,左投,シュート,13,8,-0.3,-,-,142,0.0,0.0,60.0,.145,.309,67,33,0
92,東 克樹,デ,左投,ストレート,447,38,-4.7,-1.1,40,143,2.9,6.7,18.2,.355,.371,40,58,2
93,東 克樹,デ,左投,スライダー,250,21,2.4,0.9,67,126,10.4,18.7,42.5,.236,.287,61,32,7
94,東 克樹,デ,左投,カットボール,131,11,0.1,0.1,62,134,11.5,22.1,23.8,.433,.330,30,57,13
95,東 克樹,デ,左投,カーブ,34,3,0.4,-,-,104,8.8,25.0,23.5,.249,.256,29,43,29
96,東 克樹,デ,左投,チェンジアップ,239,20,-0.8,-0.3,49,126,17.2,28.5,48.7,.323,.349,48,52,0
97,東 克樹,デ,左投,ツーシーム,70,6,-0.4,-,-,136,4.3,12.5,12.9,.520,.381,22,67,11
98,九里 亜蓮,広,右投,ストレート,266,26,-5.0,-1.9,33,142,1.5,5.3,7.1,.335,.379,41,59,0
99,九里 亜蓮,広,右投,スライダー,193,19,0.8,0.4,61,124,9.8,18.6,40.8,.382,.294,43,42,15
100,九里 亜蓮,広,右投,カットボール,69,7,0.7,-,-,131,5.8,11.1,21.4,.197,.296,50,39,11
101,九里 亜蓮,広,右投,ナックルカーブ,43,4,0.0,-,-,112,4.7,18.2,8.3,.373,.247,57,29,14
102,九里 亜蓮,広,右投,チェンジアップ,340,33,5.3,1.6,70,126,18.5,34.1,47.5,.232,.302,46,43,11
103,九里 亜蓮,広,右投,シュート,109,11,-0.6,-0.5,48,139,0.9,2.3,10.0,.248,.256,64,24,12
104,九里 亜蓮,広,右投,ツーシーム,6,1,0.3,-,-,127,0.0,0.0,100.0,.000,.213,100,0,0
105,ウェンデルケン,デ,右投,ストレート,34,48,0.1,-,-,150,5.9,13.3,33.3,.737,.453,0,100,0
106,ウェンデルケン,デ,右投,ナックルカーブ,9,13,-0.1,-,-,126,0.0,0.0,14.3,-,-,-,-,-
107,ウェンデルケン,デ,右投,チェンジアップ,27,38,0.5,-,-,136,22.2,35.3,42.9,.223,.304,67,33,0
108,ウェンデルケン,デ,右投,ツーシーム,1,1,0.0,-,-,146,0.0,0.0,-,-,-,-,-,-
109,島内 颯太郎,広,右投,ストレート,284,59,0.1,0.1,39,152,9.2,19.4,23.7,.227,.300,38,44,19
110,島内 颯太郎,広,右投,スライダー,2,0,-0.1,-,-,123,0.0,-,0.0,-,-,-,-,-
111,島内 颯太郎,広,右投,カーブ,1,0,0.0,-,-,118,0.0,-,0.0,-,-,-,-,-
112,島内 颯太郎,広,右投,フォーク,2,0,0.0,-,-,141,0.0,0.0,0.0,.870,.209,100,0,0
113,島内 颯太郎,広,右投,チェンジアップ,194,40,2.6,1.4,66,130,20.6,42.1,41.1,.368,.318,54,42,4
114,森原 康平,デ,右投,ストレート,234,63,2.2,0.9,48,148,8.5,14.5,32.3,.270,.348,24,62,13
115,森原 康平,デ,右投,スライダー,13,4,-0.1,-,-,132,0.0,0.0,0.0,.690,.306,67,33,0
116,森原 康平,デ,右投,カーブ,1,0,0.0,-,-,116,0.0,-,0.0,-,-,-,-,-
117,森原 康平,デ,右投,フォーク,123,33,0.5,0.4,60,138,22.8,41.2,55.4,.440,.310,63,38,0
118,早川 隆久,楽,左投,ストレート,507,41,-0.5,-0.1,52,144,7.7,15.7,23.0,.289,.346,31,58,11
119,早川 隆久,楽,左投,スライダー,115,9,-1.0,-0.9,48,128,11.3,20.6,30.4,.265,.333,43,50,7
120,早川 隆久,楽,左投,カットボール,175,14,1.0,0.6,66,138,10.9,23.8,25.8,.382,.336,42,52,6
121,早川 隆久,楽,左投,カーブ,143,12,2.2,1.6,63,121,7.0,22.2,18.5,.193,.221,72,17,11
122,早川 隆久,楽,左投,フォーク,92,8,1.1,-,-,134,27.2,54.3,39.7,.711,.344,50,50,0
123,早川 隆久,楽,左投,チェンジアップ,191,16,4.2,2.2,75,132,22.5,37.1,40.5,.349,.315,50,43,7
124,今井 達也,西,右投,ストレート,520,44,-1.2,-0.2,51,153,7.7,19.3,17.3,.313,.347,48,48,4
125,今井 達也,西,右投,スライダー,505,43,8.6,1.7,79,139,24.0,41.9,44.0,.325,.321,46,46,8
126,今井 達也,西,右投,カットボール,1,0,0.0,-,-,147,0.0,-,0.0,-,-,-,-,-
127,今井 達也,西,右投,カーブ,35,3,-0.4,-,-,125,8.6,27.3,10.0,.616,.359,40,60,0
128,今井 達也,西,右投,フォーク,39,3,-1.9,-,-,139,5.1,12.5,30.0,.348,.425,20,80,0
129,今井 達也,西,右投,チェンジアップ,78,7,-1.2,-,-,140,9.0,20.0,23.8,.338,.359,44,56,0
130,宋 家豪,楽,右投,ストレート,135,39,-1.0,-0.7,31,147,5.9,12.3,17.6,.247,.367,48,52,0
131,宋 家豪,楽,右投,スライダー,48,14,0.2,-,-,137,14.6,26.9,34.6,.387,.277,78,22,0
132,宋 家豪,楽,右投,カーブ,4,1,0.0,-,-,120,0.0,0.0,0.0,.870,.199,100,0,0
133,宋 家豪,楽,右投,チェンジアップ,95,27,0.0,-,-,136,17.9,27.4,47.6,.279,.330,50,47,3
134,宋 家豪,楽,右投,ツーシーム,67,19,-0.1,-,-,145,4.5,7.9,14.8,.400,.306,43,43,14
135,甲斐野 央,西,右投,スライダー,18,13,0.0,-,-,135,11.1,28.6,14.3,1.035,.349,50,50,0
136,甲斐野 央,西,右投,カーブ,1,1,0.0,-,-,124,0.0,-,0.0,-,-,-,-,-
137,甲斐野 央,西,右投,フォーク,46,32,0.1,-,-,136,19.6,45.0,28.1,.513,.254,83,17,0
138,甲斐野 央,西,右投,ツーシーム,77,54,-0.3,-,-,151,7.8,15.8,18.8,.335,.370,35,59,6
139,渡辺 翔太,楽,右投,ストレート,119,42,-0.7,-0.6,32,147,6.7,17.4,12.3,.298,.317,41,45,14
140,渡辺 翔太,楽,右投,スライダー,23,8,0.4,-,-,132,4.3,12.5,27.3,.000,.146,67,0,33
141,渡辺 翔太,楽,右投,カットボール,70,25,1.0,-,-,138,20.0,38.9,40.0,.383,.395,29,71,0
142,渡辺 翔太,楽,右投,カーブ,1,0,0.0,-,-,-,100.0,100.0,-,-,-,-,-,-
143,渡辺 翔太,楽,右投,パーム,61,22,0.0,-,-,129,13.1,36.4,21.6,.342,.277,78,22,0
144,渡辺 翔太,楽,右投,スプリット,9,3,-0.5,-,-,134,11.1,33.3,14.3,-,-,-,-,-
145,アブレイユ,西,右投,ストレート,167,46,-0.8,-0.5,33,155,7.2,16.9,18.6,.449,.316,35,48,16
146,アブレイユ,西,右投,スライダー,80,22,-0.7,-,-,142,15.0,34.3,29.3,.282,.354,21,64,14
147,アブレイユ,西,右投,チェンジアップ,20,5,-0.3,-,-,143,15.0,25.0,44.4,.316,.363,43,57,0
148,アブレイユ,西,右投,ツーシーム,97,27,0.9,-,-,155,9.3,22.0,31.6,.166,.200,50,19,31
149,小島 和哉,ロ,左投,ストレート,506,46,1.2,0.2,57,145,3.8,7.6,23.7,.406,.346,43,50,6
150,小島 和哉,ロ,左投,スライダー,245,22,0.1,0.0,57,130,9.0,20.2,29.8,.198,.324,48,46,6
151,小島 和哉,ロ,左投,カットボール,81,7,0.1,-,-,138,11.1,25.7,32.6,.438,.339,54,46,0
152,小島 和哉,ロ,左投,カーブ,4,0,0.0,-,-,121,25.0,100.0,33.3,-,-,-,-,-
153,小島 和哉,ロ,左投,フォーク,120,11,-0.3,-0.3,53,133,14.2,27.0,42.2,.371,.323,58,42,0
154,小島 和哉,ロ,左投,チェンジアップ,144,13,0.1,0.1,53,128,18.8,46.6,32.2,.372,.304,67,33,0
155,伊藤 大海,日,右投,ストレート,303,27,1.1,0.4,57,147,6.6,14.0,20.0,.259,.327,43,46,11
156,伊藤 大海,日,右投,スライダー,236,21,1.8,0.8,65,131,13.1,26.3,40.3,.256,.319,41,48,11
157,伊藤 大海,日,右投,カットボール,229,20,-1.6,-0.7,53,145,5.7,14.0,17.5,.186,.333,41,51,7
158,伊藤 大海,日,右投,カーブ,40,4,0.2,-,-,117,5.0,18.2,23.1,.435,.199,100,0,0
159,伊藤 大海,日,右投,スローカーブ,1,0,0.0,-,-,100,0.0,-,-,-,-,-,-,-
160,伊藤 大海,日,右投,フォーク,26,2,0.1,-,-,130,19.2,41.7,42.1,.870,.480,0,100,0
161,伊藤 大海,日,右投,チェンジアップ,23,2,0.3,-,-,127,4.3,11.1,46.2,.447,.230,33,33,33
162,伊藤 大海,日,右投,スプリット,165,15,-0.8,-0.5,52,141,10.3,19.5,35.4,.494,.348,48,52,0
163,伊藤 大海,日,右投,ツーシーム,101,9,1.8,1.8,70,145,3.0,6.5,26.3,.317,.274,42,37,21
164,国吉 佑樹,ロ,右投,ストレート,138,44,-0.6,-0.4,33,149,5.1,10.6,17.6,.230,.339,56,41,3
165,国吉 佑樹,ロ,右投,カットボール,108,34,-1.1,-1.1,35,138,14.8,33.3,18.5,.527,.353,35,59,6
166,国吉 佑樹,ロ,右投,カーブ,6,2,-0.4,-,-,119,0.0,-,0.0,-,-,-,-,-
167,国吉 佑樹,ロ,右投,フォーク,62,20,-0.8,-,-,137,12.9,25.8,36.8,.218,.367,42,58,0
168,マーフィー,日,右投,ストレート,175,44,-2.4,-1.4,24,155,5.7,11.5,27.6,.228,.374,44,56,0
169,マーフィー,日,右投,カットボール,57,14,-0.2,-,-,142,8.8,20.8,30.0,.087,.303,70,30,0
170,マーフィー,日,右投,パワーカーブ,88,22,1.1,-,-,132,12.5,26.2,36.6,.395,.271,73,27,0
171,マーフィー,日,右投,チェンジアップ,9,2,0.0,-,-,146,0.0,0.0,40.0,.000,.223,100,0,0
172,マーフィー,日,右投,スプリット,4,1,0.1,-,-,145,25.0,50.0,33.3,-,-,-,-,-
173,マーフィー,日,右投,ツーシーム,68,17,-0.5,-,-,154,8.8,15.8,25.0,.249,.398,36,64,0
174,横山 陸人,ロ,右投,ストレート,128,62,-0.4,-0.3,37,151,9.4,17.9,31.0,.337,.374,43,57,0
175,横山 陸人,ロ,右投,スライダー,27,13,-0.3,-,-,128,33.3,75.0,36.8,1.105,.478,0,100,0
176,横山 陸人,ロ,右投,カットボール,21,10,-0.1,-,-,137,4.8,12.5,28.6,.174,.322,20,60,20
177,横山 陸人,ロ,右投,シンカー,32,15,-0.1,-,-,135,15.6,26.3,42.9,.230,.313,50,50,0
178,金村 尚真,日,右投,ストレート,326,43,-0.4,-0.1,48,149,7.4,14.3,25.6,.342,.365,33,61,6
179,金村 尚真,日,右投,スライダー,101,13,-0.3,-0.3,50,130,10.9,27.5,21.8,.158,.317,45,45,9
180,金村 尚真,日,右投,カットボール,107,14,1.3,1.2,68,138,11.2,22.2,28.3,.237,.305,41,45,14
181,金村 尚真,日,右投,カーブ,24,3,-0.2,-,-,108,4.2,50.0,6.7,.000,.466,0,100,0
182,金村 尚真,日,右投,パワーカーブ,4,1,-0.1,-,-,122,0.0,0.0,100.0,.000,.466,0,100,0
183,金村 尚真,日,右投,チェンジアップ,18,2,0.2,-,-,133,16.7,60.0,7.7,-,-,-,-,-
184,金村 尚真,日,右投,スプリット,155,20,3.6,2.3,80,141,21.3,35.1,47.3,.237,.247,70,21,9
185,金村 尚真,日,右投,ツーシーム,22,3,-0.3,-,-,146,9.1,16.7,33.3,.544,.366,25,63,13
186,鈴木 昭汰,ロ,左投,ストレート,223,61,0.4,0.2,40,147,7.6,17.5,21.6,.345,.368,39,58,3
187,鈴木 昭汰,ロ,左投,スライダー,103,28,0.5,0.5,46,128,13.6,31.1,34.4,.186,.330,57,43,0
188,鈴木 昭汰,ロ,左投,スプリット,2,1,0.1,-,-,133,0.0,0.0,-,.000,.209,100,0,0
189,鈴木 昭汰,ロ,左投,ツーシーム,37,10,0.3,-,-,134,10.8,28.6,18.2,.000,.254,86,14,0
190,田中 正義,日,右投,ストレート,294,81,1.2,0.4,43,150,10.5,23.0,23.2,.290,.349,38,54,8
191,田中 正義,日,右投,スライダー,16,4,-0.4,-,-,130,0.0,0.0,0.0,.000,.220,100,0,0
192,田中 正義,日,右投,カーブ,2,1,-0.1,-,-,123,0.0,0.0,50.0,.000,.466,0,100,0
193,田中 正義,日,右投,フォーク,49,14,0.1,-,-,134,8.2,22.2,22.2,.115,.310,63,38,0
194,宮城 大弥,オ,左投,ストレート,319,51,3.3,1.0,65,149,6.3,14.2,22.8,.288,.317,52,38,9
195,宮城 大弥,オ,左投,スライダー,176,28,1.5,0.8,65,130,14.2,29.1,38.0,.437,.343,40,53,7
196,宮城 大弥,オ,左投,スローカーブ,19,3,0.2,-,-,95,5.3,20.0,16.7,.690,.155,0,33,67
197,宮城 大弥,オ,左投,フォーク,54,9,1.2,-,-,139,22.2,42.9,39.5,.592,.344,50,50,0
198,宮城 大弥,オ,左投,チェンジアップ,62,10,1.1,-,-,129,24.2,46.9,45.5,.174,.272,80,20,0
199,有原 航平,ソ,右投,ストレート,239,22,-1.5,-0.6,46,147,2.5,5.2,23.2,.424,.357,43,53,4
200,有原 航平,ソ,右投,スライダー,50,5,-0.4,-,-,130,6.0,14.3,26.3,.544,.386,36,64,0
201,有原 航平,ソ,右投,カットボール,242,23,2.0,0.8,69,142,7.4,12.9,32.6,.206,.294,44,41,14
202,有原 航平,ソ,右投,カーブ,96,9,-0.1,-,-,116,4.2,14.8,9.5,.156,.309,59,41,0
203,有原 航平,ソ,右投,フォーク,180,17,0.6,0.3,59,133,23.9,44.8,43.5,.280,.304,42,45,13
204,有原 航平,ソ,右投,チェンジアップ,200,19,1.2,0.6,59,131,16.0,36.4,32.7,.243,.258,72,21,7
205,有原 航平,ソ,右投,ツーシーム,56,5,-0.7,-,-,146,5.4,11.1,26.1,.218,.315,50,42,8
206,吉田 輝星,オ,右投,ストレート,140,48,-1.2,-0.9,29,144,3.6,7.7,24.2,.422,.352,46,50,4
207,吉田 輝星,オ,右投,スライダー,60,20,0.7,-,-,131,8.3,19.2,13.6,.438,.317,45,45,9
208,吉田 輝星,オ,右投,カーブ,14,5,0.3,-,-,115,14.3,40.0,16.7,.000,.199,100,0,0
209,吉田 輝星,オ,右投,フォーク,51,17,-0.5,-,-,136,7.8,15.4,30.0,.170,.276,62,31,8
210,吉田 輝星,オ,右投,シュート,29,10,-1.1,-,-,143,3.4,10.0,7.7,.435,.357,50,50,0
211,松本 裕樹,ソ,右投,ストレート,243,55,3.2,1.3,52,150,10.3,20.5,24.7,.287,.311,47,40,13
212,松本 裕樹,ソ,右投,スライダー,63,14,0.8,-,-,132,12.7,27.6,27.6,.087,.275,60,30,10
213,松本 裕樹,ソ,右投,カットボール,21,5,-0.6,-,-,141,19.0,44.4,23.1,.435,.347,50,50,0
214,松本 裕樹,ソ,右投,カーブ,38,9,0.2,-,-,124,2.6,11.1,5.3,.435,.199,100,0,0
215,松本 裕樹,ソ,右投,フォーク,77,17,-1.0,-,-,135,13.0,27.8,28.3,.478,.344,50,50,0
216,山﨑 颯一郎,オ,右投,ストレート,52,54,-0.7,-,-,147,3.8,8.3,22.2,.290,.317,33,50,17
217,山﨑 颯一郎,オ,右投,スライダー,28,29,-0.7,-,-,139,17.9,31.3,27.3,.276,.386,13,75,13
218,山﨑 颯一郎,オ,右投,ナックルカーブ,1,1,0.0,-,-,111,0.0,-,0.0,-,-,-,-,-
219,山﨑 颯一郎,オ,右投,フォーク,15,16,0.1,-,-,136,20.0,37.5,16.7,.290,.299,67,33,0
220,藤井 皓哉,ソ,右投,ストレート,271,62,0.1,0.0,38,151,8.5,18.0,21.0,.383,.311,35,48,18
221,藤井 皓哉,ソ,右投,スライダー,13,3,-0.1,-,-,126,15.4,50.0,0.0,.000,.349,50,50,0
222,藤井 皓哉,ソ,右投,カーブ,20,5,0.1,-,-,119,5.0,20.0,7.7,.290,.132,67,0,33
223,藤井 皓哉,ソ,右投,フォーク,131,30,0.9,0.7,62,135,17.6,43.4,36.2,.290,.259,67,25,8
224,山田 修義,オ,左投,ストレート,192,61,1.0,0.5,43,142,9.9,20.4,26.3,.222,.317,28,53,19
225,山田 修義,オ,左投,スライダー,89,28,-0.6,-,-,131,11.2,27.8,30.4,.268,.322,46,46,8
226,山田 修義,オ,左投,フォーク,19,6,-0.7,-,-,134,10.5,28.6,20.0,.447,.389,33,67,0
227,山田 修義,オ,左投,シュート,14,4,0.5,-,-,141,0.0,0.0,16.7,.000,.142,67,0,33
228,オスナ,ソ,右投,ストレート,154,41,0.0,0.0,39,152,9.7,17.0,33.3,.230,.319,37,48,15
229,オスナ,ソ,右投,スライダー,43,12,-0.8,-,-,144,14.0,37.5,27.6,.435,.284,75,25,0
